"","Department","Expense_Category","TotalExpense","TotalBudget"
"60","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","RENTAL OF LAND AND BUILDING                       ",895875.52,301943904
"61","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","REPAIR AND MAINTENANCE SUPPLIES                   ",57260,301943904
"62","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","REPAIRS AND MAINTENANCE                           ",158423.67,301943904
"63","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",17346184.1,301943904
"64","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","WATER                                             ",52515.05,301943904
"65","COMMERCE AND CONSUMER AFFAIRS","DUES AND SUBSCRIPTIONS                            ",345000,56869542
"66","COMMERCE AND CONSUMER AFFAIRS","MACHINERY AND EQUIPMENT                           ",171918.23,56869542
"67","COMMERCE AND CONSUMER AFFAIRS","OTHER CURRENT EXPENDITURES                        ",641580,56869542
"68","COMMERCE AND CONSUMER AFFAIRS","POSTAGE                                           ",80000,56869542
"69","COMMERCE AND CONSUMER AFFAIRS","REPAIRS AND MAINTENANCE                           ",126357.5,56869542
"70","COMMERCE AND CONSUMER AFFAIRS","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",3039064.28,56869542
"71","DEFENSE","BUILDINGS                                         ",9487489.82,116564852
"72","DEFENSE","ELECTRICITY                                       ",1201130.66,116564852
"73","DEFENSE","FOOD SUPPLIES                                     ",446390.82,116564852
"74","DEFENSE","LAND AND LAND IMPROVEMENTS                        ",531918.78,116564852
"75","DEFENSE","MACHINERY AND EQUIPMENT                           ",3632876.4,116564852
"76","DEFENSE","OPERATING SUPPLIES                                ",61417.5,116564852
"77","DEFENSE","OTHER CURRENT EXPENDITURES                        ",1265028.12,116564852
"78","DEFENSE","OTHER SUPPLIES                                    ",179101,116564852
"79","DEFENSE","REPAIRS AND MAINTENANCE                           ",2969258.15,116564852
"80","DEFENSE","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",14909787.38,116564852
"81","GOVERNOR","DUES AND SUBSCRIPTIONS                            ",193400,NA
"82","GOVERNOR","HIRE OF PASSENGER CARS                            ",53735.12,NA
"83","HAWAIIAN HOME LANDS","CONSTRUCTION IN PROGRESS                          ",28432102.25,56736574
"84","HAWAIIAN HOME LANDS","ELECTRICITY                                       ",428326.64,56736574
"85","HAWAIIAN HOME LANDS","INTEREST ON BONDED DEBT                           ",2396691.95,56736574
"86","HAWAIIAN HOME LANDS","MACHINERY AND EQUIPMENT                           ",148107.15,56736574
"87","HAWAIIAN HOME LANDS","OTHER CAPITAL OUTLAY                              ",582202.73,56736574
"88","HAWAIIAN HOME LANDS","OTHER GRANTS-IN-AID                               ",860065,56736574
"89","HAWAIIAN HOME LANDS","OTHER RENTALS                                     ",448638.57,56736574
"90","HAWAIIAN HOME LANDS","PAYMENT FOR LOANS                                 ",4892988.02,56736574
"91","HAWAIIAN HOME LANDS","PAYMENTS FOR DEBT RETIREMENTS                     ",732996.59,56736574
"92","HAWAIIAN HOME LANDS","POSTAGE                                           ",40000,56736574
"93","HAWAIIAN HOME LANDS","REPAIRS AND MAINTENANCE                           ",153475.03,56736574
"94","HAWAIIAN HOME LANDS","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",2606458.4,56736574
"95","HEALTH","ADVERTISING                                       ",29222.55,1524064542
"96","HEALTH","BARGE FREIGHT                                     ",107832.43,1524064542
"97","HEALTH","BUILDINGS                                         ",2004987.52,1524064542
"98","HEALTH","CONSTRUCTION IN PROGRESS                          ",7329919.49,1524064542
"99","HEALTH","DENTAL SUPPLIES & DENTURES                        ",27678.76,1524064542
"100","HEALTH","DRUGS & BIOLOGICS                                 ",3326679.52,1524064542
"101","HEALTH","DUES                                              ",105875.11,1524064542
"102","HEALTH","ELECTRICITY                                       ",3114307.45,1524064542
"103","HEALTH","ENGINEERING AND ARCHITECTUAL                      ",43527.65,1524064542
"104","HEALTH","GAS                                               ",26659.87,1524064542
"105","HEALTH","HOUSEHOLD SUPPLIES                                ",25922.83,1524064542
"106","HEALTH","INSPECTION/CERTIFICATION FEES                     ",29665,1524064542
"107","HEALTH","INSURANCE--COMP. GENERAL LIABILITY                ",2030886,1524064542
"108","HEALTH","INSURANCE--OTHER                                  ",77032,1524064542
"109","HEALTH","LABORATORY                                        ",26125,1524064542
"110","HEALTH","M&E--OTHER MACHINERY & EQUIPMENT                  ",1277346.14,1524064542
"111","HEALTH","M&E--PASSENGER CAR                                ",83603.3,1524064542
"112","HEALTH","M&E--TRUCKS & TRAILERS                            ",34597.7,1524064542
"113","HEALTH","MACHINERY & EQUIP-DEFAULT                         ",121526.97,1524064542
"114","HEALTH","MEDICAL & SURGICAL                                ",161946.7,1524064542
"115","HEALTH","MEDICAL SERVICES                                  ",2200662.62,1524064542
"116","HEALTH","MOTOR VEHICLE GAS & OIL                           ",112356.01,1524064542
"117","HEALTH","OTHER CAPITAL OUTLAY--SEWERAGE CONSTRUCTION       ",434552.53,1524064542
"118","HEALTH","OTHER CURRENT EXPENDITURES                        ",10397120.36,1524064542
"119","HEALTH","OTHER GRANTS-IN-AID                               ",1500000,1524064542
"120","HEALTH","OTHER MISCELLANEOUS CURRENT EXPENDITURES          ",44287659.9,1524064542
"121","HEALTH","OTHER NON-STATE EMP SVS ON A FEE BASIS            ",201509450.65,1524064542
"122","HEALTH","OTHER PRINTING                                    ",93182.17,1524064542
"123","HEALTH","OTHER REPAIRS & MAINTENANCE                       ",956681.39,1524064542
"124","HEALTH","OTHER SUPPLIES                                    ",236940.75,1524064542
"125","HEALTH","PAYMENTS FOR ADVANCES (ACCOUNTS RECEIVABLES)      ",74317381.19,1524064542
"126","HEALTH","POSTAGE                                           ",80000,1524064542
"127","HEALTH","PSYCHIATRIC SERVICES                              ",98749.56,1524064542
"128","HEALTH","R&M--MACHINERY & EQUIPMENT--SPECIAL               ",26406.05,1524064542
"129","HEALTH","R&M--MEDICAL & HOSPITAL EQUIPMENT                 ",44549.92,1524064542
"130","HEALTH","R&M--SCIENTIFIC INSTRUMENTS & EQUIPMENT           ",158412.4,1524064542
"131","HEALTH","ROUTINE R&M--BUILDINGS & STRUCTURES               ",1700488.23,1524064542
"132","HEALTH","ROUTINE R&M--MACHINERY & EQUIPMENT                ",62700,1524064542
"133","HEALTH","SCIENTIFIC SUPPLIES                               ",242030.08,1524064542
"134","HEALTH","SECURITY GUARD SERVICES                           ",58048.92,1524064542
"135","HEALTH","SEWER                                             ",31956.03,1524064542
"136","HEALTH","SUBSCRIPTIONS                                     ",27500,1524064542
"137","HEALTH","SVCS. RENDERED BY OTHER STATE DEPTS. AND AGENCIES ",21854322.45,1524064542
"138","HEALTH","TRNG. COSTS & REGISTRATION FEES                   ",26792,1524064542
"139","HUMAN RESOURCES DEVELOPMENT","MACHINERY AND EQUIPMENT                           ",129044.34,20952566
"140","HUMAN RESOURCES DEVELOPMENT","OTHER CURRENT EXPENDITURES                        ",78375,20952566
"141","HUMAN RESOURCES DEVELOPMENT","REPAIRS AND MAINTENANCE                           ",256811.33,20952566
"142","HUMAN RESOURCES DEVELOPMENT","UNEMPLOYMENT BENEFITS PAYMENTS                    ",1486500,20952566
"143","HUMAN RESOURCES DEVELOPMENT","WORKERS' COMPENSATION PAYMENTS                    ",390834.42,20952566
"144","HUMAN SERVICES","BUILDINGS                                         ",1125000,2766146173
"145","HUMAN SERVICES","DATA PROCESSING EQUIPMENT                         ",967868.3,2766146173
"146","HUMAN SERVICES","DATA PROCESSING SOFTWARE                          ",1465367.94,2766146173
"147","HUMAN SERVICES","ELECTRICITY                                       ",26758.95,2766146173
"148","HUMAN SERVICES","EMPLOYMENT AND TRAINING SERVICES                  ",384114,2766146173
"149","HUMAN SERVICES","GRANTS-IN-AID                                     ",617500,2766146173
"150","HUMAN SERVICES","INSURANCE                                         ",285101.94,2766146173
"151","HUMAN SERVICES","JUDGMENTS AND CLAIMS                              ",66383.78,2766146173
"152","HUMAN SERVICES","MACH. AND EQUIP. - OTHER GENERAL OFFICE EQUIPMENT ",43505.17,2766146173
"153","HUMAN SERVICES","MACHINERY AND EQUIPMENT - CHAIRS                  ",26671.94,2766146173
"154","HUMAN SERVICES","MEDICAID FISCAL AGENT COSTS                       ",9097055.89,2766146173
"155","HUMAN SERVICES","OTHER CAPITAL OUTLAY                              ",14528936.57,2766146173
"156","HUMAN SERVICES","OTHER CURRENT EXPENDITURES                        ",16815572.81,2766146173
"157","HUMAN SERVICES","OTHER DEPARTMENTS OR AGENCIES (STATE EMPLOYEES)   ",2036249.43,2766146173
"158","HUMAN SERVICES","OTHER POSTAGE AND POSTAL CHARGES                  ",164000,2766146173
"159","HUMAN SERVICES","OTHER PUBLIC ASSISTANCE                           ",8196009.33,2766146173
"160","HUMAN SERVICES","OTHER RENTALS                                     ",563306.65,2766146173
"161","HUMAN SERVICES","OTHER SERVICES ON A FEE BASIS                     ",84165119.5,2766146173
"162","HUMAN SERVICES","POSTAGE                                           ",897600,2766146173
"163","HUMAN SERVICES","PRINTED AND STANDARD FORMS                        ",59656.8,2766146173
"164","HUMAN SERVICES","PRINTING AND BINDING                              ",850653.25,2766146173
"165","HUMAN SERVICES","PUBLIC ASSIST GOODS TO VENDORS/PROVIDERS          ",143754622.07,2766146173
"166","HUMAN SERVICES","PUBLIC ASSIST SVCS TO VENDORS/PROVIDERS           ",1933687340.75,2766146173
"167","HUMAN SERVICES","PURCHASE OF SERVICE PAYMENTS                      ",56045741.45,2766146173
"168","HUMAN SERVICES","RENTAL OF DATA PROCESSING EQUIPMENT               ",394128.62,2766146173
"169","HUMAN SERVICES","RENTAL OF LAND, BUILDING OR SPACE IN BUILDING     ",357617.4,2766146173
"170","HUMAN SERVICES","REPAIRS AND MAINTENANCE                           ",874088,2766146173
"171","HUMAN SERVICES","REPAIRS AND MAINTENANCE - BUILDING AND STRUCTURES ",442114.24,2766146173
"172","HUMAN SERVICES","REPAIRS AND MAINTENANCE - DATA PROCESSING EQUIP.  ",268241.72,2766146173
"173","HUMAN SERVICES","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",2086878.32,2766146173
"174","HUMAN SERVICES","TELEPROCESSING LINE CHARGES                       ",54400,2766146173
"175","HUMAN SERVICES","UTILITIES: ELECTRICITY                            ",718054.69,2766146173
"176","LABOR AND INDUSTRIAL RELATIONS","ADVERTISING                                       ",75849.47,462567044
"177","LABOR AND INDUSTRIAL RELATIONS","AGENCY AND CLEARING ACCOUNTS                      ",466809.63,462567044
"178","LABOR AND INDUSTRIAL RELATIONS","INTERGOVERNMENTAL GRANTS-IN-AID                   ",7143905.3,462567044
"179","LABOR AND INDUSTRIAL RELATIONS","MACHINERY AND EQUIPMENT                           ",42414.08,462567044
"180","LABOR AND INDUSTRIAL RELATIONS","OTHER CURRENT EXPENDITURES                        ",500516.7,462567044
"181","LABOR AND INDUSTRIAL RELATIONS","OTHER GRANTS-IN-AID                               ",12103602.88,462567044
"182","LABOR AND INDUSTRIAL RELATIONS","PERS SVCS REND BY OTHER DEPT AGEN(STATE EMPLOYEES)",230400,462567044
"183","LABOR AND INDUSTRIAL RELATIONS","POSTAGE                                           ",325000,462567044
"184","LABOR AND INDUSTRIAL RELATIONS","RENTAL OF LAND AND BUILDING                       ",45543.66,462567044
"185","LABOR AND INDUSTRIAL RELATIONS","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",509215.91,462567044
"186","LABOR AND INDUSTRIAL RELATIONS","WORKERS' COMPENSATION PAYMENTS                    ",1638478.84,462567044
"187","LAND AND NATURAL RESOURCES","BUILDINGS                                         ",83523.65,140406406
"188","LAND AND NATURAL RESOURCES","FREIGHT AND DELIVERY CHARGES                      ",55604.12,140406406
"189","LAND AND NATURAL RESOURCES","INTERGOVERNMENTAL GRANTS-IN-AID                   ",693725,140406406
"190","LAND AND NATURAL RESOURCES","LAND AND LAND IMPROVEMENTS                        ",46647373.94,140406406
"191","LAND AND NATURAL RESOURCES","M & E - GEN OFF EQUIP                             ",37620.47,140406406
"192","LAND AND NATURAL RESOURCES","M & E - GROUND MAINT EQUIP                        ",411850.92,140406406
"193","LAND AND NATURAL RESOURCES","M & E - MOTOR VEHICLES                            ",1569080.36,140406406
"194","LAND AND NATURAL RESOURCES","M & E - RADIO INCLUDING REPEATERS                 ",61813,140406406
"195","LAND AND NATURAL RESOURCES","M & E - SOFTWARE                                  ",60791.6,140406406
"196","LAND AND NATURAL RESOURCES","M & E- TELEPHONES, INCLUDING ANSWERING MACHINES   ",32368.89,140406406
"197","LAND AND NATURAL RESOURCES","MACHINERY AND EQUIPMENT                           ",315605.68,140406406
"198","LAND AND NATURAL RESOURCES","OPERATING SUPPLIES                                ",1016462.67,140406406
"199","LAND AND NATURAL RESOURCES","OTHER CAPITAL OUTLAY                              ",47661.66,140406406
"200","LAND AND NATURAL RESOURCES","OTHER CURRENT EXPENDITURES                        ",480216.69,140406406
"201","LAND AND NATURAL RESOURCES","OTHER GRANTS-IN-AID                               ",645285.99,140406406
"202","LAND AND NATURAL RESOURCES","OTHER SUPPLIES                                    ",142787.93,140406406
"203","LAND AND NATURAL RESOURCES","PERS SVCS REND BY OTHER DEPT AGEN(STATE EMPLOYEES)",3817266.68,140406406
"204","LAND AND NATURAL RESOURCES","R&M - BLDG & STRUCT / SPECIAL                     ",433368.22,140406406
"205","LAND AND NATURAL RESOURCES","R&M - BOATING FACILITY - SPECIAL                  ",3284416.61,140406406
"206","LAND AND NATURAL RESOURCES","R&M - DATA PROCESS EQUIP                          ",80937.83,140406406
"207","LAND AND NATURAL RESOURCES","R&M - GROUNDS / ROUTINE                           ",129689.2,140406406
"208","LAND AND NATURAL RESOURCES","R&M - GROUNDS / SPECIAL                           ",4417239.91,140406406
"209","LAND AND NATURAL RESOURCES","R&M - MACH & EQUIP / SPECIAL                      ",39234,140406406
"210","LAND AND NATURAL RESOURCES","R&M - OFF FURN & FIX / NON-EDP                    ",57266.99,140406406
"211","LAND AND NATURAL RESOURCES","R&M - OTHERS (NON-EDP)                            ",26294.23,140406406
"212","LAND AND NATURAL RESOURCES","R&M MAT & SUP - BLDG & CONS                       ",48000,140406406
"213","LAND AND NATURAL RESOURCES","R&M SUP - MAINTENANCE                             ",30211.35,140406406
"214","LAND AND NATURAL RESOURCES","RENTAL - HELICOPTERS                              ",118939.2,140406406
"215","LAND AND NATURAL RESOURCES","RENTAL - OTHER EDP RENTALS                        ",26752,140406406
"216","LAND AND NATURAL RESOURCES","RENTAL OF EQUIPMENT                               ",35391.44,140406406
"217","LAND AND NATURAL RESOURCES","RENTAL OF LAND & BUILDINGS                        ",50699.28,140406406
"218","LAND AND NATURAL RESOURCES","SERVICES ON FEE BASIS (OTHER THAN STATE EMPLOYEES)",9367849.99,140406406
"219","LAND AND NATURAL RESOURCES","SVC - ACCOUNTING & AUDITING                       ",73141.33,140406406
"220","LAND AND NATURAL RESOURCES","SVC - APPRAISERS (DEPT PAYS)                      ",53500.08,140406406
"221","LAND AND NATURAL RESOURCES","SVC - EDP CONSULTANT                              ",416259.15,140406406
"222","LAND AND NATURAL RESOURCES","SVC - ENGINEER & ARCHITECT                        ",4741305.95,140406406
"223","LAND AND NATURAL RESOURCES","WATER                                             ",26674.99,140406406
"224","LIEUTENANT GOVERNOR","OTHER CURRENT EXPENDITURES                        ",2e+05,NA
"225","PUBLIC SAFETY","BUILDINGS                                         ",28263,240689395
"226","PUBLIC SAFETY","ELECTRICITY                                       ",3243350.34,240689395
"227","PUBLIC SAFETY","FOOD SUPPLIES                                     ",813905.26,240689395
"228","PUBLIC SAFETY","GAS                                               ",301426.18,240689395
"229","PUBLIC SAFETY","ITEMS FOR RESALE OR REISSUE                       ",1042405.16,240689395
"230","PUBLIC SAFETY","MACHINERY AND EQUIPMENT                           ",2843932.89,240689395
"231","PUBLIC SAFETY","OFFICE SUPPLIES                                   ",28974.8,240689395
"232","PUBLIC SAFETY","OPERATING SUPPLIES                                ",132504.37,240689395
"233","PUBLIC SAFETY","OTHER CURRENT EXPENDITURES                        ",27325431.27,240689395
"234","PUBLIC SAFETY","OTHER SUPPLIES                                    ",127043.6,240689395
"235","PUBLIC SAFETY","PERS SVCS REND BY OTHER DEPT AGEN(STATE EMPLOYEES)",61321.52,240689395
"236","PUBLIC SAFETY","PUBLIC ASSISTANCE                                 ",692980.87,240689395
"237","PUBLIC SAFETY","RENTAL OF LAND AND BUILDING                       ",699534.47,240689395
"238","PUBLIC SAFETY","REPAIR AND MAINTENANCE SUPPLIES                   ",39478.91,240689395
"239","PUBLIC SAFETY","REPAIRS AND MAINTENANCE                           ",1662820.2,240689395
"240","PUBLIC SAFETY","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",8269451.09,240689395
"241","PUBLIC SAFETY","SEWER                                             ",1075665.75,240689395
"242","PUBLIC SAFETY","TELEPHONE AND TELEGRAPH                           ",116318.52,240689395
"243","PUBLIC SAFETY","TRANSPORTATION, INTRA-STATE                       ",25706.86,240689395
"244","PUBLIC SAFETY","WATER                                             ",143298.81,240689395
"245","TAXATION","DUES AND SUBSCRIPTIONS                            ",249006,27940013
"246","TAXATION","MACHINERY AND EQUIPMENT                           ",141162.25,27940013
"247","TAXATION","OFFICE SUPPLIES                                   ",235319.79,27940013
"248","TAXATION","POSTAGE                                           ",851215.14,27940013
"249","TAXATION","REPAIRS AND MAINTENANCE                           ",96340.5,27940013
"250","TAXATION","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",530985.83,27940013
"251","TAXATION","TELEPHONE AND TELEGRAPH                           ",27866.5,27940013
"252","TRANSPORTATION","ADVERTISING                                       ",70000,913760807
"253","TRANSPORTATION","ARCHAEOLOGICAL SERVICES                           ",47225,913760807
"254","TRANSPORTATION","BUILDINGS                                         ",90050530.15,913760807
"255","TRANSPORTATION","COMPUTER SOFTWARE                                 ",119879.12,913760807
"256","TRANSPORTATION","CONSTRUCTION ADMIN. CHARGE (DEBIT)                ",387975.25,913760807
"257","TRANSPORTATION","CONSTRUCTION IN PROGRESS                          ",34374285.25,913760807
"258","TRANSPORTATION","COUNTY SERVICES                                   ",1435403.94,913760807
"259","TRANSPORTATION","DUES                                              ",189943,913760807
"260","TRANSPORTATION","EDP CONSULTANT SERVICES                           ",3028425.83,913760807
"261","TRANSPORTATION","EDP MAINTENANCE EXPENSE                           ",1162852.27,913760807
"262","TRANSPORTATION","EDP PRINTER                                       ",32611.2,913760807
"263","TRANSPORTATION","ELECTRICITY                                       ",32336951.38,913760807
"264","TRANSPORTATION","ELECTRONIC PARTS/SUPPLIES                         ",66723.75,913760807
"265","TRANSPORTATION","ENGINEERING AND ARCHITECTURAL                     ",57158032.58,913760807
"266","TRANSPORTATION","ENVIRONMENTAL SERVICES - MS4                      ",25607.2,913760807
"267","TRANSPORTATION","ENVIRONMENTAL SERVICES - OTHERS                   ",471406.72,913760807
"268","TRANSPORTATION","EQUIPMENT OTHERWISE NOT CLASSIFIED                ",443073.02,913760807
"269","TRANSPORTATION","FIRE BOAT SERVICE                                 ",532603.51,913760807
"270","TRANSPORTATION","GROUND MAINTENANCE EQUIPMENT                      ",1364404.33,913760807
"271","TRANSPORTATION","HWY C&M - GUARDRAIL & POST                        ",79950,913760807
"272","TRANSPORTATION","INVENTORY - MATERIALS AND SUPPLIES                ",240724.98,913760807
"273","TRANSPORTATION","JANITORIAL SUPPLIES                               ",170257.26,913760807
"274","TRANSPORTATION","LAND AND INTEREST IN LAND                         ",107330.04,913760807
"275","TRANSPORTATION","LAND IMPROVEMENT - AIRPORTS                       ",96840840.64,913760807
"276","TRANSPORTATION","LAND IMPROVEMENT - HARBORS                        ",2868483,913760807
"277","TRANSPORTATION","LAND IMPROVEMENT - HIGHWAYS AND STREETS           ",142825013.72,913760807
"278","TRANSPORTATION","LEGAL                                             ",31099.46,913760807
"279","TRANSPORTATION","MAINTENANCE MATERIALS, SUPPLIES AND PARTS         ",373301.83,913760807
"280","TRANSPORTATION","MEDICAL SERVICES                                  ",1187985.37,913760807
"281","TRANSPORTATION","MICRO/MINI-COMPUTER                               ",55033.49,913760807
"282","TRANSPORTATION","MOTOR VEHICLE REPAIR PARTS                        ",187314.52,913760807
"283","TRANSPORTATION","OTHER BOND ISSUANCE AND REDEMPTION EXPENSE        ",40726.25,913760807
"284","TRANSPORTATION","OTHER EDP EQUIPMENT                               ",298130.76,913760807
"285","TRANSPORTATION","OTHER GRANTS-IN-AID                               ",6983470.84,913760807
"286","TRANSPORTATION","OTHER INSURANCE AND BONDS                         ",860998.83,913760807
"287","TRANSPORTATION","OTHER INTEREST                                    ",261825.97,913760807
"288","TRANSPORTATION","OTHER LAND IMPROVEMENTS                           ",306356.08,913760807
"289","TRANSPORTATION","OTHER MISCELLANEOUS EXPENDITURES                  ",133303.62,913760807
"290","TRANSPORTATION","OTHER MOTOR VEHICLES                              ",1584880.18,913760807
"291","TRANSPORTATION","OTHER OPERATING SUPPLIES NOT CLASSIFIED           ",187844.6,913760807
"292","TRANSPORTATION","OTHER SUPPLIES                                    ",48771.79,913760807
"293","TRANSPORTATION","PAYMENT ON PRINCIPAL - REVENUE BONDS              ",4170070.72,913760807
"294","TRANSPORTATION","PERMANENT PARTIAL DISABILITY                      ",69772.99,913760807
"295","TRANSPORTATION","PERS SVCS REND BY OTHER DEPT AGEN(STATE EMPLOYEES)",231608.97,913760807
"296","TRANSPORTATION","PERSONAL SERVICES RENDERED BY OTHERS              ",18258031.44,913760807
"297","TRANSPORTATION","R&M - BUILDING AND STRUCTURE - ROUTINE            ",631265.1,913760807
"298","TRANSPORTATION","R&M - BUILDING AND STRUCTURE - SPECIAL            ",8821335.89,913760807
