This dataset has same content as MergedData.csv,,,,,
The proportion of the category expenditure to the total budget approved for each department was computed,,,,,
"Few categories exceeds the approved budget : ATTORNEY GENERAL , GOVERNOR, AND LT GOVERNOR..  ",,,,,
,Department,Expense_Category,TotalExpense,TotalBudget,Proportion
24,AGRICULTURE,OTHER R & M                                       ,43500,48528729,0.09%
25,AGRICULTURE,OTHR MATERIALS & SUPPLIES- CALLING CARDS          ,685364.81,48528729,1.41%
26,AGRICULTURE,SCIENTIFIC INSTRUMENTS & EQUIPMENT                ,62430.59,48528729,0.13%
27,AGRICULTURE,SERVICES-ON-A-FEE BASIS (NOT STATE EMPLOYEE)      ,5488295.59,48528729,11.31%
28,AGRICULTURE,TELEPHONE & TELEGRAPH                             ,34678.14,48528729,0.07%
29,ATTORNEY GENERAL,DUES AND SUBSCRIPTIONS                            ,175605.69,111795,157.08%
30,ATTORNEY GENERAL,INTERGOVERNMENTAL GRANTS-IN-AID                   ,2823339.65,111795,2525.46%
31,ATTORNEY GENERAL,JUDGMENTS AND CLAIMS                              ,1259012.44,111795,1126.18%
32,ATTORNEY GENERAL,MACHINERY AND EQUIPMENT                           ,175745.87,111795,157.20%
33,ATTORNEY GENERAL,OTHER CURRENT EXPENDITURES                        ,411708.57,111795,368.27%
34,ATTORNEY GENERAL,REPAIRS AND MAINTENANCE                           ,729725.36,111795,652.74%
35,ATTORNEY GENERAL,SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),939231.46,111795,840.14%
36,BUDGET AND FINANCE,AGENCY AND CLEARING ACCOUNTS                      ,436889.31,2158540694,0.02%
37,BUDGET AND FINANCE,MACHINERY AND EQUIPMENT                           ,39572.6,2158540694,0.00%
38,BUDGET AND FINANCE,OTHER CURRENT EXPENDITURES                        ,513891.39,2158540694,0.02%
39,BUDGET AND FINANCE,SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),188861.13,2158540694,0.01%
40,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",BUILDINGS                                         ,3806677.72,301943904,1.26%
41,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",ELECTRICITY                                       ,1040016.8,301943904,0.34%
42,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",OTHER CURRENT EXPENDITURES                        ,307637.68,301943904,0.10%
43,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",OTHER GRANTS-IN-AID                               ,314712,301943904,0.10%
44,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",OTHER SUPPLIES                                    ,50666.95,301943904,0.02%
45,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",PAYMENT FOR INVESTMENTS                           ,1160555.13,301943904,0.38%
46,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",PAYMENT FOR LOANS                                 ,16389424.39,301943904,5.43%
47,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",RENTAL OF EQUIPMENT                               ,30164.58,301943904,0.01%
48,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",RENTAL OF LAND AND BUILDING                       ,520773.17,301943904,0.17%
49,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",REPAIR AND MAINTENANCE SUPPLIES                   ,57260,301943904,0.02%
50,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),9841764.54,301943904,3.26%
51,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM",WATER                                             ,26314.15,301943904,0.01%
52,COMMERCE AND CONSUMER AFFAIRS,MACHINERY AND EQUIPMENT                           ,146319.29,56869542,0.26%
53,COMMERCE AND CONSUMER AFFAIRS,OTHER CURRENT EXPENDITURES                        ,579940,56869542,1.02%
54,COMMERCE AND CONSUMER AFFAIRS,POSTAGE                                           ,40000,56869542,0.07%
55,COMMERCE AND CONSUMER AFFAIRS,SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),1822534.01,56869542,3.20%
56,DEFENSE,BUILDINGS                                         ,5695034.81,116564852,4.89%
57,DEFENSE,ELECTRICITY                                       ,770257.17,116564852,0.66%
58,DEFENSE,FOOD SUPPLIES                                     ,223611.92,116564852,0.19%
59,DEFENSE,LAND AND LAND IMPROVEMENTS                        ,329017,116564852,0.28%
60,DEFENSE,MACHINERY AND EQUIPMENT                           ,3283455.63,116564852,2.82%
61,DEFENSE,OPERATING SUPPLIES                                ,31917.5,116564852,0.03%
62,DEFENSE,OTHER SUPPLIES                                    ,119600,116564852,0.10%
63,DEFENSE,REPAIRS AND MAINTENANCE                           ,1461574.72,116564852,1.25%
64,DEFENSE,SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),7522457.75,116564852,6.45%
65,GOVERNOR,DUES AND SUBSCRIPTIONS                            ,60700,NA,#VALUE!
66,HAWAIIAN HOME LANDS,CONSTRUCTION IN PROGRESS                          ,9874259.76,56736574,17.40%
67,HAWAIIAN HOME LANDS,ELECTRICITY                                       ,270785.22,56736574,0.48%
68,HAWAIIAN HOME LANDS,INTEREST ON BONDED DEBT                           ,1287170.09,56736574,2.27%
69,HAWAIIAN HOME LANDS,MACHINERY AND EQUIPMENT                           ,148107.15,56736574,0.26%
70,HAWAIIAN HOME LANDS,OTHER CAPITAL OUTLAY                              ,510202.4,56736574,0.90%
71,HAWAIIAN HOME LANDS,OTHER GRANTS-IN-AID                               ,1.00E+05,56736574,0.18%
72,HAWAIIAN HOME LANDS,PAYMENT FOR LOANS                                 ,1391024.61,56736574,2.45%
73,HAWAIIAN HOME LANDS,PAYMENTS FOR DEBT RETIREMENTS                     ,336746.6,56736574,0.59%
74,HAWAIIAN HOME LANDS,SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),1005945.27,56736574,1.77%
75,HEALTH,ADVERTISING                                       ,29222.55,1524064542,0.00%
76,HEALTH,BARGE FREIGHT                                     ,107832.43,1524064542,0.01%
77,HEALTH,BUILDINGS                                         ,743612.21,1524064542,0.05%
78,HEALTH,CONSTRUCTION IN PROGRESS                          ,3946851.64,1524064542,0.26%
79,HEALTH,DRUGS & BIOLOGICS                                 ,2251276.07,1524064542,0.15%
80,HEALTH,DUES                                              ,35875.11,1524064542,0.00%
81,HEALTH,ELECTRICITY                                       ,1601848.36,1524064542,0.11%
82,HEALTH,ENGINEERING AND ARCHITECTUAL                      ,43527.65,1524064542,0.00%
83,HEALTH,INSURANCE--COMP. GENERAL LIABILITY                ,2030886,1524064542,0.13%
84,HEALTH,M&E--OTHER MACHINERY & EQUIPMENT                  ,762687.59,1524064542,0.05%
85,HEALTH,M&E--PASSENGER CAR                                ,53643.4,1524064542,0.00%
86,HEALTH,MEDICAL & SURGICAL                                ,66086.36,1524064542,0.00%
87,HEALTH,MEDICAL SERVICES                                  ,301672.31,1524064542,0.02%
88,HEALTH,MOTOR VEHICLE GAS & OIL                           ,112356.01,1524064542,0.01%
89,HEALTH,OTHER CAPITAL OUTLAY--SEWERAGE CONSTRUCTION       ,305101.53,1524064542,0.02%
90,HEALTH,OTHER CURRENT EXPENDITURES                        ,3744056.66,1524064542,0.25%
91,HEALTH,OTHER GRANTS-IN-AID                               ,675000,1524064542,0.04%
92,HEALTH,OTHER MISCELLANEOUS CURRENT EXPENDITURES          ,21598199.55,1524064542,1.42%
93,HEALTH,OTHER NON-STATE EMP SVS ON A FEE BASIS            ,85945554.18,1524064542,5.64%
94,HEALTH,OTHER PRINTING                                    ,63919.77,1524064542,0.00%
95,HEALTH,OTHER REPAIRS & MAINTENANCE                       ,457685.56,1524064542,0.03%
96,HEALTH,OTHER SUPPLIES                                    ,209112.4,1524064542,0.01%
97,HEALTH,PAYMENTS FOR ADVANCES (ACCOUNTS RECEIVABLES)      ,56203434.51,1524064542,3.69%
98,HEALTH,POSTAGE                                           ,80000,1524064542,0.01%
99,HEALTH,R&M--MACHINERY & EQUIPMENT--SPECIAL               ,26406.05,1524064542,0.00%
100,HEALTH,ROUTINE R&M--BUILDINGS & STRUCTURES               ,560586.47,1524064542,0.04%
101,HEALTH,SUBSCRIPTIONS                                     ,27500,1524064542,0.00%
102,HEALTH,TRNG. COSTS & REGISTRATION FEES                   ,26792,1524064542,0.00%
103,HUMAN RESOURCES DEVELOPMENT,MACHINERY AND EQUIPMENT                           ,129044.34,20952566,0.62%
104,HUMAN RESOURCES DEVELOPMENT,REPAIRS AND MAINTENANCE                           ,62790.05,20952566,0.30%
105,HUMAN SERVICES,BUILDINGS                                         ,975000,2766146173,0.04%
106,HUMAN SERVICES,DATA PROCESSING EQUIPMENT                         ,967868.3,2766146173,0.03%
107,HUMAN SERVICES,DATA PROCESSING SOFTWARE                          ,932487.96,2766146173,0.03%
108,HUMAN SERVICES,ELECTRICITY                                       ,26758.95,2766146173,0.00%
109,HUMAN SERVICES,EMPLOYMENT AND TRAINING SERVICES                  ,3.00E+05,2766146173,0.01%
110,HUMAN SERVICES,GRANTS-IN-AID                                     ,4.00E+05,2766146173,0.01%
111,HUMAN SERVICES,INSURANCE                                         ,285101.94,2766146173,0.01%
112,HUMAN SERVICES,MACHINERY AND EQUIPMENT - CHAIRS                  ,26671.94,2766146173,0.00%
113,HUMAN SERVICES,MEDICAID FISCAL AGENT COSTS                       ,4514842.07,2766146173,0.16%
114,HUMAN SERVICES,OTHER CAPITAL OUTLAY                              ,2376829.9,2766146173,0.09%
115,HUMAN SERVICES,OTHER CURRENT EXPENDITURES                        ,6502424.57,2766146173,0.24%
116,HUMAN SERVICES,OTHER RENTALS                                     ,350947.97,2766146173,0.01%
117,HUMAN SERVICES,OTHER SERVICES ON A FEE BASIS                     ,30245436.77,2766146173,1.09%
118,HUMAN SERVICES,POSTAGE                                           ,726600,2766146173,0.03%
119,HUMAN SERVICES,PRINTING AND BINDING                              ,349663.58,2766146173,0.01%
120,HUMAN SERVICES,PUBLIC ASSIST GOODS TO VENDORS/PROVIDERS          ,48240768.55,2766146173,1.74%
121,HUMAN SERVICES,PUBLIC ASSIST SVCS TO VENDORS/PROVIDERS           ,922166470.6,2766146173,33.34%
122,HUMAN SERVICES,PURCHASE OF SERVICE PAYMENTS                      ,24121673.75,2766146173,0.87%
123,HUMAN SERVICES,"RENTAL OF LAND, BUILDING OR SPACE IN BUILDING     ",127298.1,2766146173,0.00%
124,HUMAN SERVICES,REPAIRS AND MAINTENANCE                           ,874088,2766146173,0.03%
125,HUMAN SERVICES,REPAIRS AND MAINTENANCE - BUILDING AND STRUCTURES ,189420,2766146173,0.01%
126,HUMAN SERVICES,REPAIRS AND MAINTENANCE - DATA PROCESSING EQUIP.  ,240521.78,2766146173,0.01%
127,HUMAN SERVICES,SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),323681.54,2766146173,0.01%
128,HUMAN SERVICES,UTILITIES: ELECTRICITY                            ,391222.05,2766146173,0.01%
129,LABOR AND INDUSTRIAL RELATIONS,AGENCY AND CLEARING ACCOUNTS                      ,466809.63,462567044,0.10%
130,LABOR AND INDUSTRIAL RELATIONS,INTERGOVERNMENTAL GRANTS-IN-AID                   ,3987528.4,462567044,0.86%
131,LABOR AND INDUSTRIAL RELATIONS,MACHINERY AND EQUIPMENT                           ,42414.08,462567044,0.01%
132,LABOR AND INDUSTRIAL RELATIONS,OTHER CURRENT EXPENDITURES                        ,201882,462567044,0.04%
133,LABOR AND INDUSTRIAL RELATIONS,OTHER GRANTS-IN-AID                               ,3013448.56,462567044,0.65%
134,LABOR AND INDUSTRIAL RELATIONS,POSTAGE                                           ,175000,462567044,0.04%
135,LABOR AND INDUSTRIAL RELATIONS,RENTAL OF LAND AND BUILDING                       ,45543.66,462567044,0.01%
136,LABOR AND INDUSTRIAL RELATIONS,SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),236345.72,462567044,0.05%
137,LAND AND NATURAL RESOURCES,INTERGOVERNMENTAL GRANTS-IN-AID                   ,463250,140406406,0.33%
138,LAND AND NATURAL RESOURCES,LAND AND LAND IMPROVEMENTS                        ,28269364.43,140406406,20.13%
139,LAND AND NATURAL RESOURCES,M & E - GROUND MAINT EQUIP                        ,67037.19,140406406,0.05%
140,LAND AND NATURAL RESOURCES,M & E - MOTOR VEHICLES                            ,547843.6,140406406,0.39%
141,LAND AND NATURAL RESOURCES,M & E - RADIO INCLUDING REPEATERS                 ,61813,140406406,0.04%
142,LAND AND NATURAL RESOURCES,"M & E- TELEPHONES, INCLUDING ANSWERING MACHINES   ",32368.89,140406406,0.02%
143,LAND AND NATURAL RESOURCES,MACHINERY AND EQUIPMENT                           ,173948.77,140406406,0.12%
144,LAND AND NATURAL RESOURCES,OPERATING SUPPLIES                                ,735038.13,140406406,0.52%
145,LAND AND NATURAL RESOURCES,OTHER CAPITAL OUTLAY                              ,47661.66,140406406,0.03%
146,LAND AND NATURAL RESOURCES,OTHER CURRENT EXPENDITURES                        ,118927.69,140406406,0.08%
147,LAND AND NATURAL RESOURCES,OTHER GRANTS-IN-AID                               ,227859,140406406,0.16%
148,LAND AND NATURAL RESOURCES,R&M - BLDG & STRUCT / SPECIAL                     ,94701,140406406,0.07%
149,LAND AND NATURAL RESOURCES,R&M - BOATING FACILITY - SPECIAL                  ,2211254.77,140406406,1.57%
150,LAND AND NATURAL RESOURCES,R&M - GROUNDS / ROUTINE                           ,100689.2,140406406,0.07%
151,LAND AND NATURAL RESOURCES,R&M - GROUNDS / SPECIAL                           ,1672168.11,140406406,1.19%
152,LAND AND NATURAL RESOURCES,R&M MAT & SUP - BLDG & CONS                       ,48000,140406406,0.03%
153,LAND AND NATURAL RESOURCES,RENTAL OF LAND & BUILDINGS                        ,50699.28,140406406,0.04%
154,LAND AND NATURAL RESOURCES,SERVICES ON FEE BASIS (OTHER THAN STATE EMPLOYEES),4237713.5,140406406,3.02%
155,LAND AND NATURAL RESOURCES,SVC - ACCOUNTING & AUDITING                       ,73141.33,140406406,0.05%
156,LAND AND NATURAL RESOURCES,SVC - APPRAISERS (DEPT PAYS)                      ,28500,140406406,0.02%
157,LAND AND NATURAL RESOURCES,SVC - EDP CONSULTANT                              ,260719.65,140406406,0.19%
158,LAND AND NATURAL RESOURCES,SVC - ENGINEER & ARCHITECT                        ,2983154.16,140406406,2.12%
159,LAND AND NATURAL RESOURCES,WATER                                             ,26674.99,140406406,0.02%
160,LIEUTENANT GOVERNOR,OTHER CURRENT EXPENDITURES                        ,2.00E+05,NA,#VALUE!
161,PUBLIC SAFETY,BUILDINGS                                         ,28263,240689395,0.01%
162,PUBLIC SAFETY,ELECTRICITY                                       ,1874433.88,240689395,0.78%
163,PUBLIC SAFETY,FOOD SUPPLIES                                     ,719594.83,240689395,0.30%
164,PUBLIC SAFETY,GAS                                               ,187589.4,240689395,0.08%
165,PUBLIC SAFETY,ITEMS FOR RESALE OR REISSUE                       ,542297.65,240689395,0.23%
166,PUBLIC SAFETY,MACHINERY AND EQUIPMENT                           ,1778040.21,240689395,0.74%
167,PUBLIC SAFETY,OPERATING SUPPLIES                                ,106456.43,240689395,0.04%
168,PUBLIC SAFETY,OTHER CURRENT EXPENDITURES                        ,5268038.37,240689395,2.19%
169,PUBLIC SAFETY,OTHER SUPPLIES                                    ,85187.27,240689395,0.04%
170,PUBLIC SAFETY,RENTAL OF LAND AND BUILDING                       ,285999.67,240689395,0.12%
171,PUBLIC SAFETY,REPAIR AND MAINTENANCE SUPPLIES                   ,39478.91,240689395,0.02%
172,PUBLIC SAFETY,REPAIRS AND MAINTENANCE                           ,980384.83,240689395,0.41%
173,PUBLIC SAFETY,SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),3013061.33,240689395,1.25%
174,PUBLIC SAFETY,SEWER                                             ,647349.06,240689395,0.27%
175,PUBLIC SAFETY,TELEPHONE AND TELEGRAPH                           ,84977.92,240689395,0.04%
176,PUBLIC SAFETY,WATER                                             ,98647.22,240689395,0.04%
177,TAXATION,DUES AND SUBSCRIPTIONS                            ,249006,27940013,0.89%
178,TAXATION,OFFICE SUPPLIES                                   ,39347.89,27940013,0.14%
179,TAXATION,SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),387414.37,27940013,1.39%
180,TAXATION,TELEPHONE AND TELEGRAPH                           ,27866.5,27940013,0.10%
181,TRANSPORTATION,ADVERTISING                                       ,35000,913760807,0.00%
182,TRANSPORTATION,BUILDINGS                                         ,45339319.83,913760807,4.96%
183,TRANSPORTATION,COMPUTER SOFTWARE                                 ,119879.12,913760807,0.01%
184,TRANSPORTATION,CONSTRUCTION ADMIN. CHARGE (DEBIT)                ,387975.25,913760807,0.04%
185,TRANSPORTATION,CONSTRUCTION IN PROGRESS                          ,18973384.58,913760807,2.08%
186,TRANSPORTATION,COUNTY SERVICES                                   ,759834.58,913760807,0.08%
187,TRANSPORTATION,DUES                                              ,75206,913760807,0.01%
188,TRANSPORTATION,EDP CONSULTANT SERVICES                           ,2084763,913760807,0.23%
189,TRANSPORTATION,EDP MAINTENANCE EXPENSE                           ,706643.35,913760807,0.08%
190,TRANSPORTATION,ELECTRICITY                                       ,19142429.07,913760807,2.09%
191,TRANSPORTATION,ENGINEERING AND ARCHITECTURAL                     ,26650563.88,913760807,2.92%
192,TRANSPORTATION,ENVIRONMENTAL SERVICES - OTHERS                   ,197806.72,913760807,0.02%
193,TRANSPORTATION,EQUIPMENT OTHERWISE NOT CLASSIFIED                ,128522.48,913760807,0.01%
194,TRANSPORTATION,GROUND MAINTENANCE EQUIPMENT                      ,436861.58,913760807,0.05%
195,TRANSPORTATION,HWY C&M - GUARDRAIL & POST                        ,79950,913760807,0.01%
196,TRANSPORTATION,INVENTORY - MATERIALS AND SUPPLIES                ,111256.5,913760807,0.01%
197,TRANSPORTATION,LAND AND INTEREST IN LAND                         ,107330.04,913760807,0.01%
198,TRANSPORTATION,LAND IMPROVEMENT - AIRPORTS                       ,35132080.48,913760807,3.84%
199,TRANSPORTATION,LAND IMPROVEMENT - HARBORS                        ,1164444,913760807,0.13%
200,TRANSPORTATION,LAND IMPROVEMENT - HIGHWAYS AND STREETS           ,87974415.78,913760807,9.63%
201,TRANSPORTATION,MEDICAL SERVICES                                  ,772055.91,913760807,0.08%
202,TRANSPORTATION,OTHER BOND ISSUANCE AND REDEMPTION EXPENSE        ,40726.25,913760807,0.00%
203,TRANSPORTATION,OTHER EDP EQUIPMENT                               ,272918.2,913760807,0.03%
204,TRANSPORTATION,OTHER GRANTS-IN-AID                               ,4050067.77,913760807,0.44%
205,TRANSPORTATION,OTHER INSURANCE AND BONDS                         ,834498.83,913760807,0.09%
206,TRANSPORTATION,OTHER LAND IMPROVEMENTS                           ,105156.08,913760807,0.01%
207,TRANSPORTATION,OTHER MISCELLANEOUS EXPENDITURES                  ,45445.01,913760807,0.00%
208,TRANSPORTATION,OTHER MOTOR VEHICLES                              ,811671.57,913760807,0.09%
209,TRANSPORTATION,OTHER OPERATING SUPPLIES NOT CLASSIFIED           ,154244.6,913760807,0.02%
210,TRANSPORTATION,PERSONAL SERVICES RENDERED BY OTHERS              ,9459172.37,913760807,1.04%
211,TRANSPORTATION,R&M - BUILDING AND STRUCTURE - ROUTINE            ,236476.85,913760807,0.03%
212,TRANSPORTATION,R&M - BUILDING AND STRUCTURE - SPECIAL            ,3703358.38,913760807,0.41%
213,TRANSPORTATION,R&M - GROUNDS - ROUTINE                           ,2087610.16,913760807,0.23%
214,TRANSPORTATION,R&M - GROUNDS - SPECIAL                           ,32595189.13,913760807,3.57%
215,TRANSPORTATION,R&M - HARBORS SPECIAL MAINTENANCE                 ,3958827.85,913760807,0.43%
216,TRANSPORTATION,R&M - HIGHWAYS                                    ,1213090.8,913760807,0.13%
217,TRANSPORTATION,R&M - MACHINERY AND EQUIPMENT - ROUTINE           ,6552099.96,913760807,0.72%
218,TRANSPORTATION,R&M - MACHINERY AND EQUIPMENT - SPECIAL           ,1877042.53,913760807,0.21%
219,TRANSPORTATION,R&M - OTHERS - ROUTINE                            ,255300.28,913760807,0.03%
220,TRANSPORTATION,R&M - OTHERS - SPECIAL                            ,7002947.22,913760807,0.77%
221,TRANSPORTATION,R&M - TAXIWAYS AND RUNWAYS - ROUTINE              ,3718874.89,913760807,0.41%
222,TRANSPORTATION,REFUND OF CONTRACTORS AND OTHER DEPOSITS          ,57503.1,913760807,0.01%
223,TRANSPORTATION,RENTAL OF LAND & BUILDING                         ,67532,913760807,0.01%
224,TRANSPORTATION,REPAIRS AND MAINTENANCE                           ,182960.07,913760807,0.02%
225,TRANSPORTATION,SCIENTIFIC EQUIPMENT                              ,28240,913760807,0.00%
226,TRANSPORTATION,SECURITY SERVICES (OTHER THAN COUNTY POLICE)      ,18575502.68,913760807,2.03%
227,TRANSPORTATION,SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),7498314.61,913760807,0.82%
228,TRANSPORTATION,SEWER                                             ,2442731.71,913760807,0.27%
229,TRANSPORTATION,STORES PURCHASES FOR REISSUE (DEBIT)              ,758815.68,913760807,0.08%
230,TRANSPORTATION,TRAINING COST AND REGISTRATION FEES               ,108220,913760807,0.01%
231,TRANSPORTATION,TRUCKS AND TRAILERS                               ,780474.58,913760807,0.09%
232,TRANSPORTATION,WATER                                             ,1195700.66,913760807,0.13%
233,,,,,
